Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
20230602142435,0.1794871794871824,0.1599999999999966,0.10629921259842945,0.09645669291339232,4836969.0,395.28,0.72,0.43,23.36,-0.24,-0.15,395.31,0.49,396.29,394.33,-0.98,-0.0025
20230602142440,0.10453648915186875,0.11199999999999477,0.0807086614173329,0.09055118110235583,4837710.0,395.23,0.7,0.03,24.260000000000005,-0.26,-0.18,395.25,0.51,396.27,394.23,-0.94,-0.0024
20230602142445,0.09072978303746027,0.07799999999998875,0.059055118110237004,0.059055118110237004,5645053.0,395.15,0.78,0.16,23.27,-0.28,-0.2,395.19,0.54,396.27,394.11,-1.2,-0.003
20230602142450,0.05917159763313862,0.060000000000002274,0.04527559055118502,0.07086614173229577,5001120.0,395.1,0.67,0.06,25.200000000000003,-0.29,-0.22,395.13,0.55,396.23,394.03,-0.69,-0.0017
20230602142455,0.08185404339249658,0.07999999999998408,0.047244094488192445,0.06102362204724443,4531994.0,395.05,0.67,0.05,26.03,-0.3,-0.23,395.06,0.55,396.16,393.96,-0.68,-0.0017
20230602142500,0.047337278106510894,0.03999999999999204,0.003937007874029064,0.0019685039370074264,5666067.0,394.95,0.87,0.3,23.77,-0.32,-0.25,394.97,0.56,396.09,393.85,-0.62,-0.0016
20230602142505,0.0019723865877665503,0.0,0.0,0.0,5828842.0,394.86,0.79,0.01,20.700000000000003,-0.34,-0.27,394.88,0.56,396.0,393.76,-0.51,-0.0013
20230602142510,0.0,0.01999999999998181,0.0,0.03937007874016274,4534032.0,394.79,0.52,0.2,31.599999999999994,-0.34,-0.28,394.81,0.54,395.89,393.73,-0.33,-0.0008
20230602142515,0.03944773175541627,0.057999999999992724,0.03937007874017695,0.06692913385828092,4696683.0,394.74,0.33,0.14,36.4,-0.32,-0.29,394.75,0.5,395.75,393.75,-0.13,-0.0003
20230602142520,0.06706114398421903,0.0759999999999934,0.06299212598425186,0.07874015748032548,4699398.0,394.69,0.22,0.06,44.5,-0.29,-0.29,394.69,0.45,395.59,393.79,-0.52,-0.0013
20230602142525,0.07889546351084675,0.09399999999999409,0.08661417322835518,0.07677165354330384,5206729.0,394.64,0.18,0.01,46.97,-0.27,-0.29,394.63,0.41,395.45,393.81,-0.1,-0.0003
20230602142530,0.07692307692306599,0.05699999999998795,0.06692913385828092,0.06299212598425186,4556488.0,394.6,0.21,0.07,44.83,-0.26,-0.28,394.58,0.36,395.3,393.86,-0.14,-0.0004
20230602142535,0.06311637080867172,0.04999999999999716,0.05708661417324379,0.06889763779528835,5045358.0,394.56,0.14,0.03,47.0,-0.24,-0.27,394.52,0.28,395.08,393.96,0.05,0.0001
20230602142540,0.07100591715976634,0.0759999999999934,0.05511811023623636,0.09251968503937746,5209099.0,394.52,0.02,0.12,36.53,-0.22,-0.26,394.49,0.24,394.97,394.01,0.11,0.0003
20230602142545,0.09270216962524103,0.08400000000000318,0.08267716535434033,0.10433070866142202,5372792.0,394.49,0.11,0.06,51.54,-0.19,-0.25,394.47,0.2,394.87,394.07,0.22,0.0006
20230602142550,0.10453648915186875,0.11499999999999488,0.09645669291339232,0.10629921259842945,4722397.0,394.48,0.13,0.01,53.13,-0.17,-0.23,394.46,0.2,394.86,394.06,0.53,0.0013
20230602142555,0.10650887573964951,0.14999999999999147,0.11614173228348079,0.15157480314961447,4406622.0,394.48,0.36,0.23,67.41,-0.13,-0.21,394.48,0.21,394.9,394.06,0.77,0.002
20230602142600,0.1538461538461604,0.14799999999999613,0.14960629921260704,0.16732283464567388,5386619.0,394.5,0.42,0.08,67.88,-0.09,-0.19,394.49,0.23,394.95,394.03,0.65,0.0016
20230602142605,0.14398422090729923,0.1490000000000009,0.1535433070866219,0.1535433070866219,4407831.0,394.51,0.34,0.07,66.91,-0.06,-0.16,394.51,0.25,395.01,394.01,0.44,0.0011
20230602142610,0.1538461538461604,0.13999999999998636,0.12401574803149629,0.11811023622048822,4734857.0,394.51,0.16,0.18,73.23,-0.06,-0.14,394.49,0.22,394.93,394.05,0.2,0.0005
20230602142615,0.11834319526627723,0.1460000000000008,0.12204724409448886,0.16535433070866645,3755751.0,394.5,0.41,0.24,78.0,-0.03,-0.12,394.51,0.24,394.99,394.03,0.45,0.0011
20230602142620,0.16765285996055468,0.15800000000000125,0.1614173228346516,0.15157480314961447,4899550.0,394.51,0.33,0.07,70.8,-0.02,-0.1,394.53,0.25,395.03,394.03,0.45,0.0011
20230602142625,0.15187376725837964,0.13999999999998636,0.13582677165354085,0.13582677165354085,3600735.0,394.52,0.24,0.08,63.36,-0.01,-0.08,394.55,0.26,395.07,394.03,0.34,0.0009
20230602142630,0.11637080867849647,0.10800000000000409,0.12007874015748143,0.1102362204724443,4910580.0,394.54,0.09,0.13,55.8,-0.02,-0.07,394.56,0.25,395.06,394.06,0.09,0.0002
20230602142635,0.11045364891518261,0.10800000000000409,0.11614173228348079,0.11417322834645915,4256265.0,394.55,0.1,0.02,56.83,-0.02,-0.06,394.57,0.25,395.07,394.07,0.05,0.0001
20230602142640,0.11439842209071571,0.11199999999999477,0.11614173228348079,0.10629921259842945,4420418.0,394.56,0.05,0.04,58.09,-0.03,-0.05,394.6,0.22,395.04,394.16,0.0,0.0
