Time,Price open,Price high,Price low,Price close,Volume Volume
2023-06-02 15:17:00,397.08,397.54,396.91,397.54,83346568.0
2023-06-02 15:18:00,397.46,397.495,397.0,397.13,79099541.0
2023-06-02 15:19:00,397.13,397.26,396.29,396.36,80107932.0
2023-06-02 15:20:00,396.36,396.47,396.07,396.36,84907623.0
2023-06-02 15:21:00,396.32,396.92,396.27,396.89,80439188.0
2023-06-02 15:22:00,396.89,397.25,396.89,397.21,79317590.0
2023-06-02 15:23:00,397.21,397.59,397.21,397.41,79128663.0
2023-06-02 15:24:00,397.37,397.61,397.2,397.61,76165960.0
2023-06-02 15:25:00,397.61,397.65,397.19,397.44,64754316.0
2023-06-02 15:26:00,397.44,397.79,397.36,397.64,64727917.0
2023-06-02 15:27:00,397.64,398.17,397.4,398.03,72652487.0
2023-06-02 15:28:00,398.03,398.18,397.77,397.98,73815582.0
2023-06-02 15:29:00,397.98,398.1,397.73,397.73,62702531.0
2023-06-02 15:30:00,397.73,398.02,397.71,397.88,61438483.0
2023-06-02 15:31:00,397.88,398.08,397.75,397.75,66600428.0
2023-06-02 15:32:00,397.75,397.96,397.4,397.43,65125597.0
2023-06-02 15:33:00,397.43,397.99,397.26,397.71,73215225.0
2023-06-02 15:34:00,397.71,397.755,397.35,397.37,69363934.0
2023-06-02 15:35:00,397.41,397.41,396.73,396.91,75331854.0
2023-06-02 15:36:00,396.9,397.155,396.67,396.98,69816566.0
2023-06-02 15:37:00,396.96,397.17,396.73,397.17,71501922.0
2023-06-02 15:38:00,397.125,397.13,396.73,396.8,62449193.0
2023-06-02 15:39:00,396.8,397.02,396.75,396.89,69649878.0
2023-06-02 15:40:00,396.89,397.33,396.89,397.22,73237447.0
2023-06-02 15:41:00,397.22,397.22,396.645,396.72,71220800.0
2023-06-02 15:42:00,396.72,397.46,396.66,397.26,69737803.0
2023-06-02 15:43:00,397.26,397.39,396.89,397.18,67525168.0
2023-06-02 15:44:00,397.18,397.28,397.12,397.22,63961275.0
2023-06-02 15:45:00,397.22,397.29,396.86,397.04,67308565.0
2023-06-02 15:46:00,397.04,397.17,396.85,397.115,68432154.0
2023-06-02 15:47:00,397.08,397.2,396.61,396.7,74087577.0
2023-06-02 15:48:00,396.7,396.95,396.52,396.9,75786769.0
2023-06-02 15:49:00,396.9,396.96,396.66,396.7000000000001,60206747.0
2023-06-02 15:50:00,396.7000000000001,396.7000000000001,395.12,395.34,92570057.0
2023-06-02 15:51:00,395.34,395.69,395.3,395.52,88532489.0
2023-06-02 15:52:00,395.58,395.86,395.51,395.72,77262515.0
2023-06-02 15:53:00,395.72,396.22,395.72,396.15,84894445.0
2023-06-02 15:54:00,396.15,396.24,395.92,396.06,65461309.0
2023-06-02 15:55:00,396.06,396.2,395.99,396.16,74056025.0
2023-06-02 15:56:00,396.16,396.42,396.03,396.13,69370002.0
2023-06-02 15:57:00,396.13,396.28,396.04,396.1,77308049.0
