Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,return,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
2023-06-02 14:54:45,398.11,398.19,398.09,398.1,5862811.0,398.17,0.07,0.01,-0.0025118685790359585,46.15,0.04,0.05,398.18,0.11,398.4,397.96,-0.14,-0.0004
2023-06-02 14:54:50,398.1,398.25,398.08,398.17,5256713.0,398.18,0.01,0.07,0.017583521728203877,53.26,0.03,0.05,398.19,0.1,398.39,397.99,-0.07,-0.0002
2023-06-02 14:54:55,398.17,398.22,398.09,398.16,5871830.0,398.19,0.03,0.01,-0.0025114900670586415,52.69,0.02,0.04,398.19,0.1,398.39,397.99,-0.04,-0.0001
2023-06-02 14:55:00,398.16,398.18,398.06,398.06,6886217.0,398.19,0.13,0.1,-0.025115531444652728,50.52,0.01,0.03,398.19,0.1,398.39,397.99,-0.14,-0.0004
2023-06-02 14:55:05,398.04,398.12,397.93,398.05,5874265.0,398.18,0.13,0.01,-0.002512184092851033,37.97,0.0,0.03,398.19,0.1,398.39,397.99,-0.2,-0.0005
2023-06-02 14:55:10,398.05,398.05,397.84,397.84,6482522.0,398.17,0.33,0.21,-0.05275719130762857,30.0,-0.02,0.02,398.17,0.13,398.43,397.91,-0.43,-0.0011
2023-06-02 14:55:15,397.84,398.04,397.84,397.97,5470018.0,398.16,0.19,0.13,0.03267645284537046,39.45,-0.03,0.01,398.16,0.14,398.44,397.88,-0.44,-0.0011
2023-06-02 14:55:20,397.97,398.13,397.97,398.13,7699426.0,398.16,0.03,0.16,0.04020403548006257,47.2,-0.03,0.0,398.16,0.14,398.44,397.88,-0.3,-0.0008
2023-06-02 14:55:25,398.13,398.18,398.09,398.15,5478692.0,398.16,0.01,0.02,0.00502348479138881,45.9,-0.02,-0.0,398.16,0.14,398.44,397.88,-0.08,-0.0002
2023-06-02 14:55:30,398.15,398.36,398.15,398.33,6090168.0,398.17,0.16,0.18,0.04520909205074641,52.17,-0.0,-0.0,398.18,0.14,398.46,397.9,0.22,0.0006
2023-06-02 14:55:35,398.33,398.35,398.32,398.33,4872972.0,398.18,0.15,0.0,0.0,46.77,0.01,-0.0,398.18,0.14,398.46,397.9,0.23,0.0006
2023-06-02 14:55:40,398.37,398.37,398.27,398.27,3858370.0,398.18,0.09,0.06,-0.015062887555550297,43.75,0.02,0.0,398.18,0.14,398.46,397.9,0.1,0.0003
2023-06-02 14:55:45,398.27,398.42,398.26,398.39,5280189.0,398.19,0.2,0.12,0.03013031360634688,56.67,0.04,0.01,398.19,0.15,398.49,397.89,0.23,0.0006
2023-06-02 14:55:50,398.33,398.44,398.33,398.39,5483692.0,398.2,0.19,0.0,0.0,62.96,0.05,0.02,398.2,0.16,398.52,397.88,0.33,0.0008
2023-06-02 14:55:55,398.4,398.6,398.38,398.57,5694648.0,398.21,0.36,0.18,0.04518185697433008,68.8,0.07,0.03,398.22,0.18,398.58,397.86,0.52,0.0013
2023-06-02 14:56:00,398.56,398.57,398.42,398.54,6305658.0,398.23,0.31,0.03,-0.0075269086985851885,65.28999999999999,0.08,0.04,398.23,0.19,398.61,397.85,0.7,0.0018
2023-06-02 14:56:05,398.48,398.53,398.37,398.37,5492689.0,398.23,0.14,0.17,-0.04265569328048002,57.66,0.08,0.05,398.23,0.19,398.61,397.85,0.4,0.001
2023-06-02 14:56:10,398.38,398.41,398.25,398.31,6917752.0,398.23,0.08,0.06,-0.015061375103542218,59.4,0.07,0.05,398.22,0.18,398.58,397.86,0.18,0.0005
2023-06-02 14:56:15,398.32,398.36,398.27,398.36,5697487.0,398.22,0.14,0.05,0.01255303657954343,61.31,0.07,0.06,398.23,0.19,398.61,397.85,0.21,0.0005
2023-06-02 14:56:20,398.36,398.36,398.26,398.3,5697879.0,398.23,0.07,0.06,-0.015061753188072569,68.85,0.06,0.06,398.24,0.19,398.62,397.86,-0.03,-0.0001
2023-06-02 14:56:25,398.3,398.31,398.21,398.21,5915594.0,398.23,0.02,0.09,-0.022596033140853677,60.17,0.05,0.06,398.24,0.18,398.6,397.88,-0.12,-0.0003
2023-06-02 14:56:30,398.21,398.21,398.13,398.16,5714274.0,398.24,0.08,0.05,-0.012556188945522795,51.4,0.03,0.05,398.24,0.18,398.6,397.88,-0.11,-0.0003
2023-06-02 14:56:35,398.16,398.23,398.15,398.17,4898280.0,398.24,0.07,0.01,0.0025115531444575012,50.94,0.02,0.04,398.24,0.18,398.6,397.88,-0.22,-0.0006
2023-06-02 14:56:40,398.215,398.31,398.19,398.27,5715043.0,398.24,0.03,0.1,0.02511490067056421,46.94,0.02,0.04,398.26,0.18,398.62,397.9,-0.12,-0.0003
2023-06-02 14:56:45,398.27,398.33,398.23,398.33,4286657.0,398.25,0.08,0.06,0.015065156803184543,50.0,0.02,0.04,398.27,0.17,398.61,397.93,-0.24,-0.0006
2023-06-02 14:56:50,398.34,398.36,398.26,398.26,5920175.0,398.27,0.01,0.07,-0.01757336881480498,49.52,0.02,0.03,398.29,0.14,398.57,398.01,-0.28,-0.0007
2023-06-02 14:56:55,398.26,398.27,398.2,398.24,5515840.0,398.29,0.05,0.02,-0.0050218450258543434,42.11,0.01,0.03,398.3,0.12,398.54,398.06,-0.13,-0.0003
2023-06-02 14:57:00,398.22,398.3,398.22,398.29,6129603.0,398.3,0.01,0.05,0.012555243069511945,45.0,0.01,0.02,398.31,0.11,398.53,398.09,-0.02,-0.0001
2023-06-02 14:57:05,398.26,398.28,398.25,398.25,3473599.0,398.31,0.06,0.04,-0.010042933540888033,31.400000000000006,0.01,0.02,398.32,0.1,398.52,398.12,-0.11,-0.0003
2023-06-02 14:57:10,398.25,398.365,398.24,398.29,5925836.0,398.32,0.03,0.04,0.01004394224732863,35.629999999999995,0.01,0.02,398.32,0.1,398.52,398.12,-0.01,-0.0
2023-06-02 14:57:15,398.29,398.29,398.2,398.24,6539625.0,398.31,0.07,0.05,-0.012553666926107265,41.33,0.01,0.02,398.31,0.11,398.53,398.09,0.03,0.0001
2023-06-02 14:57:20,398.24,398.24,398.1,398.14,6949032.0,398.3,0.16,0.1,-0.02511048613901279,39.24,-0.0,0.01,398.3,0.11,398.52,398.08,-0.02,-0.0001
2023-06-02 14:57:25,398.14,398.2,398.11,398.13,7366035.0,398.29,0.16,0.01,-0.002511679308780934,34.67,-0.01,0.01,398.29,0.12,398.53,398.05,-0.04,-0.0001
2023-06-02 14:57:30,398.16,398.16,398.02,398.06,6549242.0,398.28,0.22,0.07,-0.017582196769894143,34.209999999999994,-0.02,0.0,398.27,0.12,398.51,398.03,-0.21,-0.0005
2023-06-02 14:57:35,398.06,398.16,397.93,397.9500000000001,4912332.0,398.26,0.31,0.11,-0.027634025021328057,33.33,-0.04,-0.01,398.24,0.12,398.48,398.0,-0.38,-0.001
2023-06-02 14:57:40,398.0,398.0,397.93,397.93,5731451.0,398.23,0.3,0.02,-0.005025757004673004,34.67,-0.06,-0.02,398.21,0.12,398.45,397.97,-0.33,-0.0008
2023-06-02 14:57:45,397.99,398.08,397.97,398.07,7574467.0,398.2,0.13,0.14,0.035182067197747635,44.32,-0.06,-0.03,398.2,0.12,398.44,397.96,-0.17,-0.0004
2023-06-02 14:57:50,398.07,398.07,398.07,398.07,3275655.0,398.19,0.12,0.0,0.0,37.18,-0.06,-0.03,398.19,0.12,398.43,397.95,-0.22,-0.0006
